row_id,address_line_1,city,state,zip,mon_hrs,tue_hrs,wed_hrs,thu_hrs,fri_hrs,sat_hrs,sun_hrs,loc_lat,loc_long
22,426 AL Highway 69 S,Hanceville,AL,35077,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,N/A,N/A
23,2536 Helena Rd,Helena,AL,35080,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 12:00 AM,6:00 AM - 8:00 PM,N/A,N/A
24,505 Brookwood Blvd,Homewood,AL,35209,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,33.4686441509357,-86.7757161970807
25,5413 US 280,Hoover,AL,35242,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 12:00 AM,6:00 AM - 8:00 PM,N/A,N/A
26,10055 Memorial Pkwy SE,Huntsville,AL,35803,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,N/A,N/A
27,1221B Memorial Pkwy NW,Huntsville,AL,35801,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,34.7697664,-86.5862016
28,2785 Carl T Jones Dr SE,Huntsville,AL,35802,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,N/A,N/A
29,301 Sparkman Dr NW,Huntsville,AL,35805,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 5:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,34.7234857,-86.6379901
30,2111 Moody Parkway,Leeds,AL,35094,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,33.56512,-86.5214883
31,103 Brookridge Dr,Madison,AL,35758,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,N/A,N/A
32,11212 County Line Rd,Madison,AL,35758,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,N/A,N/A
33,1753 Springhill Ave,Mobile,AL,36607,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,30.7005685,-88.1132815
34,505 Schillinger Rd S,Mobile,AL,36695,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,N/A,N/A
35,5701 Old Shell Rd,Mobile,AL,36608,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,30.689272,-88.173939
36,790 Ann St,Montgomery,AL,36107,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,32.370198,-86.270962
37,8025 Vaughn Rd,Montgomery,AL,36116,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,32.338796208333335,-86.1754634375
38,1609 Woodward Ave,Muscle Shoals,AL,35661,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,34.74629528571429,-87.66758357142857
39,2103 Pepperell Parkway,Opelika,AL,36801,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,32.6373968,-85.4087826
40,10 Oxford Exchange Blvd,Oxford,AL,36203,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,33.609013,-85.7848283
41,700 S Quintard Ave,Oxford,AL,36203,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,33.619954,-85.828109
42,480 Cahaba Valley Rd,Pelham,AL,35124,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,N/A,N/A
43,1413 Highway 280 BYP,Phenix City,AL,36867,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,N/A,N/A
44,2020 Cobbs Ford Rd,Prattville,AL,36066,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,N/A,N/A
45,100 Troy Plaza Loop,Troy,AL,36081,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,31.783174,-85.951579
46,160 McCorvey Dr,Tuscaloosa,AL,35487,Closed,Closed,Closed,Closed,Closed,Closed,Closed,33.217512843668395,-87.54592946630271
47,2520 Stillman Blvd,Tuscaloosa,AL,35401,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,33.205605827846156,-87.5685542299738
48,3615 McFarland Blvd E,Tuscaloosa,AL,35405,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,N/A,N/A
49,2804 20th Ave,Valley,AL,36854,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,32.813769,-85.171156
50,1284 Montgomery Hwy,Vestavia,AL,35216,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,33.4225501,-86.7975161
51,2419 Acton Rd,Vestavia Hills,AL,35243,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,33.410512,-86.763772
52,313 Cane Creek Rd,Warrior,AL,35180,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,N/A,N/A
53,5267 US Highway 231,Wetumpka,AL,36092,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,6:30 AM - 9:00 PM,N/A,N/A
54,1700 Umiak Dr,False Pass,AK,99583,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,N/A,N/A
55,1800 Umiak Dr,False Pass,AK,99583,12:00 AM - 12:00 AM,3:00 AM - 7:00 PM,12:00 AM - 12:00 AM,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,N/A,N/A
56,12685 W Indian School Rd,Avondale,AZ,85392,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,N/A,N/A
57,675 S Watson Rd,Buckeye,AZ,85326,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,N/A,N/A
58,1306 E Florence Blvd,Casa Grande,AZ,85122,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,32.8795604,-111.7356067
59,1970 W Elliot Rd,Chandler,AZ,85224,4:00 AM - 3:00 PM,4:00 AM - 3:00 PM,4:00 AM - 3:00 PM,4:00 AM - 3:00 PM,4:00 AM - 3:00 PM,5:00 AM - 3:00 PM,5:00 AM - 3:00 PM,33.35005905,-111.87521439378142
60,2001 N Arizona Ave,Chandler,AZ,85225,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,N/A,N/A
61,2021 S Alma School Rd,Chandler,AZ,85248,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,33.27333294921658,-111.8584068853579
62,2051 W. Chandler Blvd,Chandler,AZ,85224,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 4:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,N/A,N/A
63,4225 S Gilbert Rd,Chandler,AZ,85249,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 5:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,33.2306906,-111.7894895
64,5800 W Chandler Blvd,Chandler,AZ,85226,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,33.305454,-111.941795
65,980 E Pecos Rd,Chandler,AZ,85225,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,4:00 AM - 3:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,33.29175567548978,-111.82473481820733
66,990 E Riggs Rd,Chandler,AZ,85249,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,33.2196781,-111.824619
67,1006 S Main St,Cottonwood,AZ,86326,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,34.7266319,-112.0083217
68,199 W 5th St,Douglas,AZ,85607,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,N/A,N/A
69,16189 S Sunshine Blvd,Eloy,AZ,85131,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,32.73238015,-111.54938477191746
70,1020 S Milton Rd,Flagstaff,AZ,86001,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 5:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,N/A,N/A
71,4419 N US Highway 89,Flagstaff,AZ,86004,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,N/A,N/A
72,1633 S Higley Rd,Gilbert,AZ,85296,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,N/A,N/A
73,3140 E Chandler Heights Rd,Gilbert,AZ,85298,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,33.23437255,-111.72210825
74,857 E. Warner Rd,Gilbert,AZ,85296,4:00 AM - 7:00 PM,4:00 AM - 4:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,N/A,N/A
75,13887 N 59th Ave,Glendale,AZ,85306,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,33.612066049999996,-112.18540189902073
76,20229 N. 67th Ave,Glendale,AZ,85308,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,5:00 AM - 7:00 PM,N/A,N/A
77,5143 W Olive Ave,Glendale,AZ,85302,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,33.567424,-112.1702482857143
78,5795 West Bell Road,Glendale,AZ,85308,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,N/A,N/A
79,7507 W Rose Garden Ln,Glendale,AZ,85308,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 2:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,N/A,N/A
80,211 N Estrella Pkwy,Goodyear,AZ,85338,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,N/A,N/A
81,3535 Stockton Hill Rd,Kingman,AZ,86409,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,N/A,N/A
82,970 S Blake Ranch Rd,Kingman,AZ,86401,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,N/A,N/A
83,14750 Highway 95,Lake Havasu City,AZ,86404,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,N/A,N/A
84,85 Lake Havasu Ave N,Lake Havasu City,AZ,86403,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,34.476294067196754,-114.3463087136487
85,5225 W Baseline Rd,Laveen,AZ,85339,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,N/A,N/A
86,8002 N Cortaro Rd,Marana,AZ,85743,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,32.3473832,-111.1000015
87,15406 N Maricopa Rd,Maricopa,AZ,85139,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 7:00 PM,33.02372535,-112.04973429065595
88,20595 S John Wayne Parkway,Maricopa,AZ,85139,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,N/A,N/A
89,1116 S Crismon Rd,Mesa,AZ,85208,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,33.3945449,-111.6161497
90,1230 E Baseline Rd,Mesa,AZ,85204,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,33.3795321,-111.806091
91,1835 S Greenfield Rd,Mesa,AZ,85206,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,33.3921895,-111.7364805
92,1958 E Brown Rd,Mesa,AZ,85203,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,33.43763945,-111.78931018078629
93,2105 S Alma School Rd,Mesa,AZ,85210,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,33.376840258084265,-111.85957399444915
94,6606 E. McKellips Rd,Mesa,AZ,85215,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,N/A,N/A
95,522 W Mariposa Rd,Nogales,AZ,85621,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,31.365881929203848,-110.94060225471458
96,7805 N Oracle Rd,Oro Valley,AZ,85704,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,N/A,N/A
97,401 S Beeline Hwy,Payson,AZ,85541,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 1:00 PM,5:00 AM - 5:00 PM,N/A,N/A
98,24786 N. 67th Avenue,Peoria,AZ,85383,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,33.7510221,-112.204191
